,url,2nd_type
0,100percentfedup.com,
1,16wmpo.com,
2,21stcenturywire.com,
3,24newsflash.com,
4,24wpn.com, 
5,365usanews.com,conspiracy
6,4threvolutionarywar.wordpress.com,conspiracy
7,70news.wordpress.com,
9,aanirfan.blogspot.co.uk,
10,abcnews.com.co,
11,abcnewsgo.co,
12,abeldanger.net,
13,abovetopsecret.com,rumor
15,aceflashman.wordpress.com,
16,actforamerica.org/news,
17,Acting-Man.com,conspiracy
18,activistpost.com,
19,actualidadpanamericana.com,
20,addictinginfo.org,unreliable
21,adflegal.org/media,
22,adobochronicles.com,
23,advocate.com,reliable
24,aheadoftheherd.com,
25,ahtribune.com,bias
26,allnewspipeline.com,conspiracy
27,Alt-Market.com,bias
28,alternativemediasyndicate.com,
29,alternet.org,reliable
30,americablog.com,clickbait
31,americanborderpatrol.com,
32,americanfreepress.net,bias
33,AmericanKabuki.blogspot.com,
34,americanlookout.com,clickbait
35,americannews.com,
36,americannewsx.com,bias
37,americanoverlook.com,
38,americanpatriotdaily.com,clickbait
39,americanpoliticnews.co,
40,americanpresident.co,
41,americanprogress.org,reliable
42,americanreviewer.com,
43,americanthinker.com,
44,americantoday.news,bias
45,americasfreedomfighters.com,clickbait
46,AmmoLand.com,
47,amplifyingglass.com,satire
48,Amposts.com,
49,amren.com,conspiracy
50,amren.com,
51,amtvmedia.com,unreliable
52,amusmentic.com,rumor
53,ancient-code.com,unreliable
54,anews24.org/,
56,anonews.co,
57,anonhq.com,
58,anonjekloy.tk,
59,anonnews.co,
60,anotherdayintheempire.com,conspiracy
61,antiwar.com,unreliable
62,antoniusaquinas.wp.com,conspiracy
63,aryannationswordwide1488.org,
64,asia-pacificresearch.com,satire
65,assassinationscience.com,junksci
66,associatedmediacoverage.com,
67,attn.com,clickbait
68,aurora-news.us,
69,AutomaticEarth.com,
70,automotostar.com,
71,awarenessact.com,junksci
72,awazetribune.com,
73,awdnews.com,
74,awm.com,bias
75,BadSquad.com,
76,baptistnews.com,
77,barenakedislam.com,
78,barnesreview.org,
79,BB4SP.com,bias
80,beehivebugle.com,
81,beforeitsnews.com,conspiracy
82,betootaadvocate.com,
83,bients.com,
85,bigbluedimension.com,bias
86,bigbluevision.com,
87,bigbluevision.org,bias
88,bighairynews.com,conspiracy
89,bignuggetnews.com,rumor
90,bigpzone.com,
91,bipartisanreport.com,bias
92,blackagendareport.com,
93,blackgenocide.org,bias
94,blackinusrancenews.com,unreliable
95,blacklistednews.com,unreliable
96,bluenationreview.com,unreliable
97,Boilingfrogspost.com,
98,borowitzreport.com,
99,bostonleader.com,
101,breaking911.com,unreliable
102,breakpoint.org,
103,breitbart.com,unreliable
104,BrotherJohnF.com,conspiracy
105,BullionBullsCanada.com,
106,burrardstreetjournal.com,
107,buzzfeedusa.com,rumor
108,bvanews.com,bias
109,callthecops.net,
110,canadafreepress.com,bias
111,cannasos.com,unreliable
112,cap-news.com, 
113,cato.org/blog,reliable
114,cbsnews.com.co,
115,celebtricity.com,
116,centerforsecuritypolicy.org,conspiracy
117,centerforsecuritypolicy.org/#articles,
118,channel-7-news.com,
119,channel18news.com,
120,charismanews.com,
121,chaser.com.au,
122,checkoutthehealthyworld.com,clickbait
123,chicksontheright.com,bias
124,christianfightback.com,bias
125,christianpost.com,political
126,christiantimesnewspaper.com,bias
127,christwire.org,
128,chronicle.su, 
129,chroniclesmagazine.org,
130,citizensunited.org,
131,city-journal.org,
132,cityworldnews.com,
133,civictribune.com,
134,clashdaily.com,conspiracy
135,clickhole.com,
136,cnnews3.com,
137,cnnnext.com,
138,CNSNews.com,bias
139,coasttocoastam.com,
140,coed.com,unreliable
141,collective-evolution.com,
142,collectivelyconscious.net,conspiracy
143,ComingDepression.com,
144,commentarymagazine.com,
145,commondreams.org,clickbait
146,concisepolitics.com,hate
147,consciouslifenews.com, 
148,conservapedia.com, 
149,conservativebyte.com,bias
150,conservativedailypost.com,unreliable
151,conservativefighters.com,
152,conservativefiringline.com,conspiracy
153,conservativeflashnews.com,
154,conservativefrontline.com,
155,conservativeheadlines.com,
156,conservativehq.com,
157,conservativeinfidel.com,conspiracy
158,conservativeoutfitters.com,clickbait
159,conservativepapers.com,
160,conservativerefocus.com,
161,conservativereview.com,
163,conservativestate.com,
164,conservativetribune.com,conspiracy
165,consortiumnews.com,
166,conspiracyplanet.com,
167,conspiracywire.com,
168,corbettreport.com,bias
169,corbettreport.com,
170,countdowntozerotime.com, 
171,countercurrentnews.com,
172,countercurrents.org,unreliable
173,counterinformation.wordpress.com,
174,counterjihad.com,
175,counterpsyops.com,
176,counterpunch.com,
177,counterpunch.org,
178,cowgernation.com,conspiracy
180,creativitymovement.net/category/news/,
181,cryptogon.com,unreliable
182,crystalair.com,
183,dailybuzzlive.com,
184,dailycaller.com,clickbait
185,dailycurrant.com,
186,dailydiscord.com,
187,dailyheadlines.com, 
188,dailyheadlines.net, 
189,dailyinfobox.com,
190,dailyken.com,
191,dailykos.com,clickbait
193,dailynews10.com,
194,dailynews5.com,
195,dailynewsbin.com,clickbait
196,dailynewspolitic.com,
197,dailynewsposts.info,
198,dailyoccupation.com,bias
199,dailypolitics.info,
200,dailypoliticsusa.com,
201,dailysignal.com,
202,dailysnark.com,
203,dailysquib.co.uk,
204,dailystormer.com,conspiracy
205,dailysurge.com,
206,dailytelegraph.com.au,rumor
207,dailyusaupdate.com,
208,dailywire.com,
209,damnleaks.com,
210,dandygoat.com,
211,darkmoon.me,bias
212,darkpolitricks.com,conspiracy
213,dataasylum.com,junksci
214,DaveJanda.com,
215,davidduke.com,
216,davidstockmanscontracorner.com,
217,davidwolfe.com,
218,dcclothesline.com,junksci
219,dcgazette.com,
220,dcleaks.com,
221,ddemocraticunderground.com,
222,DeadLineLive.info,conspiracy
224,debunkingskeptics.com,conspiracy
225,defenddemocracy.press,political
226,delectabledietofpics.net,
227,dennismichaellynch.com,
228,denverguardian.com,
229,departed.co,
230,departedmedia.com,
231,der-postillon.com,
232,derfmagazine.com,
233,dineal.com,
234,disclose.tv,conspiracy
235,disclosuremedia.net,
236,dissentmagazine.org,
237,diversitychronicle.wordpress.com,
238,DIYhours.net,
239,DollarVigilante.com,
240,donaldtrumpnews.co,
241,DonaldTrumpPotus45.com,
242,Dont-Tread-On.Me,
243,downtrend.com,satire
244,DProgram.net,
245,drrichswier.com,bias
246,drudgereport.com,bias
247,drudgereport.com.co,
248,duffleblog.com,
249,duhprogressive.com,
250,Dutchsinse.com,
251,EagleRising.com,clickbait
252,EbolaHoax.com,
253,economicnoise.com,unreliable
254,ecowatch.com,
255,educate-yourself.org,junksci
256,educateinspirechange.org/health,junksci
257,electionnightgatekeepers.com,unreliable
258,elelephantintheroom.blogspot.com,
259,elitereaders.com,
260,elkoshary.com,
261,elmundotoday.com,
262,embols.com,
263,Empirehearland.com,
264,empireherald.com,satire
265,empirenews.net,satire
266,empirenews.net,
267,empiresports.co,
268,empiresports.co,
269,Emptywheel.net,
270,en-vovle.com,
271,enabon.com,
272,endingthefed.com, 
274,endtime.com,clickbait
275,enduringvision.com,
276,english.ruvr.ru,
277,enhlive.com,
278,EUTimes.net,conspiracy
279,eutopia.buzz,satire
280,everydayworldnews.com,
281,everythingnewdaily.com,
282,ewao.com,
283,ExperimentalVaccines.org,conspiracy
284,Expose1933.com,hate
285,express.co.uk,
286,extraclubmagazine.com,clickbait
287,eyeopening.info,junksci
288,fakingnews.com,satire
289,familysecuritymatters.org,bias
290,fantasticword.com,
291,FarmWars.info,conspiracy
292,federalistpress.com,
293,fedsalert.com,
294,fellowshipoftheminds.com,junksci
295,filmsforaction.org,
296,FinancialSurvivalNetwork.com,bias
297,firearmscoalition.org, 
298,flashnewscorner.com,
299,floridasunpost.com,satire
300,flyheight.com,
301,fmobserver.com,
302,fognews.ru,
303,foodbabe.com,
304,foreignpolicyjournal.com,
305,fort-russ.com,
306,fourwinds10.net,junksci
308,freakoutnation.com,
309,FreeBeacon.com,
310,freedomdaily.com,
311,FreedomForceInternational.com,
312,freedomoutpost.com,bias
313,FreedomsPhoenix.com,conspiracy
314,freedomworks.org,
315,freedomworldnews.com,unreliable
316,freepatriot.org,
317,freewoodpost.com,
318,freshdailyreport.com,
319,fridaymash.com,
320,fromthetrenchesworldreport.com,junksci
321,frontpagemag.com,hate
322,fusion.net,reliable
323,gaia.com,junksci
324,galacticconnection.com,
325,gangstergovernment.com,bias
326,gatesofvienna.net,conspiracy
327,geoengineeringwatch.org,conspiracy
328,geopolmonitor.com,
329,givemeliberity01.com,
330,glaringhypocrisy.com,conspiracy
331,GlobalEconomicAnalysis.com,
332,globalpoliticsnow.com,
333,globalresearch.ca,
334,glossynews.com,
335,godlikeproductions.com,
336,gomerblog.com,
337,goneleft.com,
338,GonzaloLira.Blogspot.com,
339,gopthedailydose.com,conspiracy
340,govtslaves.info,
341,greanvillepost.com,
342,GreenMedInfo.com,
343,guardianlv.com,
344,guccifer2.wordpress.com,
345,gulagbound.com, 
346,gummypost.com,
347,hangthebankers.com, 
348,healthimpactnews.com,bias
349,healthnutnews.com,
350,healthy-holistic-living.com,clickbait
351,healthycareandbeauty.com,unreliable
352,healthyworldhouse.com,
353,heartland.org,
354,heatst.com,bias
355,henrymakow.com, 
356,heresyblog.net,conspiracy
357,heritage.org,
358,holyobserver.com,
359,horowitzfreedomcenter.org,
360,humansarefree.com,
361,humortimes.com,
362,huzlers.com,
363,icr.org,
364,ifyouonlynews.com,satire
365,igrewupinusa.info,
366,ihavethetruth.com,clickbait
367,ihr.org,
368,ijr.com,bias
369,illuminati-news.com,
370,ilovemyfreedom.org,clickbait
371,immediatesafety.org,
372,in5d.com,
373,indiaarising.com,unreliable
374,infiniteunknown.net,
375,informationclearinghouse.info,unreliable
376,informetoday.com,unreliable
377,infostormer.com,hate
378,infowars.com,
379,instaworldnews.com,
380,intellihub.com,unreliable
381,interestingdailynews.com,
382,intrendtoday.com,clickbait
383,intrepidreport.com,
384,investmentresearchdynamics.com,
386,ironictimes.com,
387,islamicanews.com,
388,itaglive.com,
389,ITCCS.org,
390,ItMakesSenseBlog.com,
391,iwanttoexplore.com,
392,jackpineradicals.com,
393,jacobinmag.com,
394,jamesrgrangerjr.com,
395,jesus-is-savior.com,
396,jewsnews.co.il,bias
397,jihadwatch.org,hate
398,johnnyrobish.com,
399,jonesreport.com,
400,journal-neo.org,
401,judicialwatch.org,
402,katehon.com,
403,katehon.org,
404,kauilapele.wordpress.com,
405,kingworldnews.com,
406,KMT11.com,
407,knowledgeoftoday.org,
408,konkonsagh.biz,
409,krbcnews.com,
410,ky12news.com,
411,ladylibertynews.com,
412,landoverbaptist.org,
413,lastdeplorables.com,
414,learnprogress.org,bias
415,legorafi.fr,
416,lewrockwell.com,unreliable
417,liberalamerica.org,bias
418,liberalbias.com,
420,liberalplug.com,
421,libertyalliance.com,
422,libertyblitzkrieg.com,
423,libertyfederation.com,
424,libertymovementradio.com,
425,libertynews.com,bias
426,libertytalk.fm,
427,libertyunyielding.com,
428,libertyvideos.org,
429,libertywritersnews.com,bias
430,lifeandabout.com,
431,lifenews.com,clickbait
432,lifeprevention.com,
433,lifesitenews.com,bias
434,lifezette.com,
435,lightlybraisedturnip.com,
436,liveactionnews.org,
437,livefreelivenatural.com,
438,livevote.com,
439,loanpride.com,clickbait
440,local31news.com,
441,lovethispic.com,junksci
442,lushforlife.com,
443,Mad-Yet.blogspot.com,
444,madpatriots.com,clickbait
445,madworldnews.com,
446,madworldnews.com,hate
447,madworldnews.com,clickbait
448,magafeed.com,bias
449,maganews.co,
450,majorthoughts.com,
452,meanlefthook.com,clickbait
453,mediamass.net,
454,mediazone.news,unreliable
455,megafreshnews.com,
456,megynkelly.us,
457,mentor2day.com,
458,metropolitanworlds.com,
459,militianews.com,bias
460,mintpressnews.com,
461,molonlabemedia.com,conspiracy
462,moonofalabama.org,
463,morningledger.com,conspiracy
464,morningnewsusa.com,
465,mpidailymagazine.com,bias
466,mrc.org,bias
467,mrconservative.com,satire
468,msnbc.website,
469,mydailyrelaxation.com,
470,myfreshnews.com,bias
471,myzonetoday.com,bias
472,nahadaily.com,
473,nakedcapitalism.com,
474,nasamoonhoax.com,
476,nationalreview.com,
477,NationalUFOCenter.com,
478,nationalvanguard.org,
479,nationindistress.weebly.com,
480,nationonenews.com,conspiracy
481,naturalblaze.com,conspiracy
482,naturalnews.com,conspiracy
483,naturalnewsblogs.com,
484,nbc.com.co,
485,nbcpolitics.org,
486,nbcpoll.com,
487,ncscooper.com,
489,nephef.com,
490,nevo.news,bias
491,newcenturytimes.com,bias
492,newcoldwar.org,
493,newpoliticstoday.com,
494,news-hound.com,
495,news-hound.org,
496,news4ktla.com,satire
497,newsbbc.net,
498,newsbiscuit.com,
499,newsbreakers.org,
500,newsbreakshere.com,
501,NewsBuster.com,
502,newsbysquad.com,
503,newscenterusa.com,
504,newscorpse.com, 
505,newsdaily12.com,
506,newsexaminer.net,satire
507,newsfrompolitics.com,
508,newsleak.co,
509,newslo.com,
511,newsmagazine.com,
512,Newsmax.com,bias
514,newsninja2012.com, 
515,newsopening.com,
516,newstarget.com,
517,newsthump.com,
518,newstoad.net,
519,newswatch28.com,
520,newswatch33.com,
521,newswire-24.com,unreliable
522,newswithviews.com,conspiracy
523,newyorker.com/humor,
524,nodisinfo.com,unreliable
525,NoMoreFakeNews.com,
526,nonaiswa.org/wordpress,
527,northcrane.com,
529,NoTime4Bull.com,
530,now8news.com,
531,nowtheendbegins.com,
532,npiamerica.org,bias
533,NutritionalAnarchy.com,
534,nutritionfacts.org,
535,nymeta.co,satire
536,nyuzer.com,
537,oann.com,reliable
538,oathkeepers.org,
539,objectiveministries.org,
540,observatorial.com,
541,observer.com,
542,OCCUPY.com,
543,occupydemocrats.com,bias
544,occupyliberals.com,clickbait
545,odgossip.com,
546,off-guardian.org,conspiracy
547,OffGridSurvival.com,bias
548,oftwominds.com,conspiracy
549,oilgeopolitics.net,
550,onepoliticalplaza.com,
551,onlineconservativepress.com,conspiracy
552,opednews.com,
553,openmagazines.com,
554,openmindmagazine.com,conspiracy
555,orientalreview.org,conspiracy
556,other98.com,bias
557,pakalertpress.com,
558,palmerreport.com,
560,patdollar.com,clickbait
561,patriotarchives.blogspot.com,
562,patriotchronicle.com,clickbait
563,patriotnewsdaily.com,
564,patriotnewsdaily.com,
565,patriotpost.us, 
566,patriotrising.com,conspiracy
567,patriotupdate.com,conspiracy
568,paulcraigroberts.org,conspiracy
569,pjmedia.com,bias
570,platosguns.com,conspiracy
571,policestateusa.com,
572,policyreview.info,
573,Politcalpiehole.com,
574,politicalblindspot.com,junksci
575,politicalcult.com,clickbait
576,politicalears.com,clickbait
577,politicalo.com, 
578,PoliticalPieHole.com,
