,url,3rd_type
0,100percentfedup.com,
1,16wmpo.com,
2,21stcenturywire.com,
3,24newsflash.com,
4,24wpn.com,
5,365usanews.com,
6,4threvolutionarywar.wordpress.com,
7,70news.wordpress.com,
8,82.221.129.208,
9,aanirfan.blogspot.co.uk,
10,abcnews.com.co,
11,abcnewsgo.co,
12,abeldanger.net,
13,abovetopsecret.com,
14,abriluno.com,
15,aceflashman.wordpress.com,
16,actforamerica.org/news,
17,Acting-Man.com,
18,activistpost.com,
19,actualidadpanamericana.com,
20,addictinginfo.org,
21,adflegal.org/media,
22,adobochronicles.com,
23,advocate.com,
24,aheadoftheherd.com,
25,ahtribune.com,
26,allnewspipeline.com,
27,Alt-Market.com, 
28,alternativemediasyndicate.com,
29,alternet.org,
30,americablog.com,
31,americanborderpatrol.com,
32,americanfreepress.net,
33,AmericanKabuki.blogspot.com,
34,americanlookout.com,
35,americannews.com,
36,americannewsx.com,satire
37,americanoverlook.com,
38,americanpatriotdaily.com,bias
39,americanpoliticnews.co,
40,americanpresident.co,
41,americanprogress.org,
42,americanreviewer.com,
43,americanthinker.com,
44,americantoday.news,
45,americasfreedomfighters.com,
46,AmmoLand.com,
47,amplifyingglass.com,
48,Amposts.com,
49,amren.com,
50,amren.com,
51,amtvmedia.com,
52,amusmentic.com,
53,ancient-code.com,
54,anews24.org/,
55,angrypatriotmovement.com,
56,anonews.co,
57,anonhq.com,
58,anonjekloy.tk,
59,anonnews.co,
60,anotherdayintheempire.com,
61,antiwar.com,
62,antoniusaquinas.wp.com,
63,aryannationswordwide1488.org,
64,asia-pacificresearch.com,
65,assassinationscience.com,
66,associatedmediacoverage.com,
67,attn.com,
68,aurora-news.us,
69,AutomaticEarth.com,
70,automotostar.com,
71,awarenessact.com,
72,awazetribune.com,
73,awdnews.com,
74,awm.com,clickbait
75,BadSquad.com,
76,baptistnews.com,
77,barenakedislam.com,
78,barnesreview.org,
80,beehivebugle.com,
81,beforeitsnews.com,rumor
82,betootaadvocate.com,
83,bients.com,
84,bigamericannews.com,
85,bigbluedimension.com,
86,bigbluevision.com,
87,bigbluevision.org,
88,bighairynews.com,
89,bignuggetnews.com,
90,bigpzone.com,
91,bipartisanreport.com,
92,blackagendareport.com,
93,blackgenocide.org,hate
94,blackinusrancenews.com,
95,blacklistednews.com,
96,bluenationreview.com,
97,Boilingfrogspost.com,
98,borowitzreport.com,
99,bostonleader.com,
100,bostontribune.com,
101,breaking911.com,
102,breakpoint.org,
103,breitbart.com,bias
104,BrotherJohnF.com,
105,BullionBullsCanada.com,
106,burrardstreetjournal.com,
107,buzzfeedusa.com,
109,callthecops.net,
110,canadafreepress.com, 
111,cannasos.com,
112,cap-news.com,
113,cato.org/blog,
114,cbsnews.com.co,
115,celebtricity.com,
116,centerforsecuritypolicy.org,
117,centerforsecuritypolicy.org/#articles,
118,channel-7-news.com,
119,channel18news.com,
120,charismanews.com,
121,chaser.com.au,
122,checkoutthehealthyworld.com,
123,chicksontheright.com,
124,christianfightback.com,
125,christianpost.com,
127,christwire.org,
128,chronicle.su,
129,chroniclesmagazine.org,
130,citizensunited.org,
131,city-journal.org,
132,cityworldnews.com,
133,civictribune.com,
134,clashdaily.com,bias
135,clickhole.com,
136,cnnews3.com,
137,cnnnext.com,
138,CNSNews.com,
139,coasttocoastam.com,
140,coed.com,
141,collective-evolution.com,
142,collectivelyconscious.net,
143,ComingDepression.com,
144,commentarymagazine.com,
145,commondreams.org,
146,concisepolitics.com,
147,consciouslifenews.com,
148,conservapedia.com, 
149,conservativebyte.com,
150,conservativedailypost.com,
151,conservativefighters.com,
152,conservativefiringline.com,clickbait
153,conservativeflashnews.com,
154,conservativefrontline.com,
155,conservativeheadlines.com,
156,conservativehq.com,
157,conservativeinfidel.com,
158,conservativeoutfitters.com,
159,conservativepapers.com,
160,conservativerefocus.com,
161,conservativereview.com,
162,conservativespirit.com,
163,conservativestate.com,
164,conservativetribune.com,unreliable
165,consortiumnews.com,
166,conspiracyplanet.com,
167,conspiracywire.com,
168,corbettreport.com,
169,corbettreport.com,
170,countdowntozerotime.com,
171,countercurrentnews.com,
172,countercurrents.org,
173,counterinformation.wordpress.com,
174,counterjihad.com,
175,counterpsyops.com,
176,counterpunch.com,
177,counterpunch.org,
178,cowgernation.com,
179,creambmp.com,
180,creativitymovement.net/category/news/,
181,cryptogon.com,
182,crystalair.com,
183,dailybuzzlive.com,
184,dailycaller.com,bias
185,dailycurrant.com,
186,dailydiscord.com,
187,dailyheadlines.com,
188,dailyheadlines.net,
189,dailyinfobox.com,
190,dailyken.com,
191,dailykos.com, 
192,dailyleak.org,
193,dailynews10.com,
194,dailynews5.com,
195,dailynewsbin.com,
196,dailynewspolitic.com,
197,dailynewsposts.info,
198,dailyoccupation.com,
199,dailypolitics.info,
200,dailypoliticsusa.com,
201,dailysignal.com,
202,dailysnark.com,
203,dailysquib.co.uk,
204,dailystormer.com,bias
205,dailysurge.com,
206,dailytelegraph.com.au,
207,dailyusaupdate.com,
208,dailywire.com,
209,damnleaks.com,
210,dandygoat.com,
211,darkmoon.me,
212,darkpolitricks.com,
213,dataasylum.com,
214,DaveJanda.com,
215,davidduke.com,
216,davidstockmanscontracorner.com,
217,davidwolfe.com,
218,dcclothesline.com,
219,dcgazette.com,
220,dcleaks.com,
221,ddemocraticunderground.com,
222,DeadLineLive.info,
223,DeadlyClear.wordpress.com,
224,debunkingskeptics.com,
225,defenddemocracy.press,
226,delectabledietofpics.net,
227,dennismichaellynch.com,
228,denverguardian.com,
229,departed.co,
230,departedmedia.com,
231,der-postillon.com,
232,derfmagazine.com,
233,dineal.com,
234,disclose.tv,
235,disclosuremedia.net,
236,dissentmagazine.org,
237,diversitychronicle.wordpress.com,
238,DIYhours.net,
239,DollarVigilante.com,
240,donaldtrumpnews.co,
241,DonaldTrumpPotus45.com,
242,Dont-Tread-On.Me,
243,downtrend.com,
244,DProgram.net,
245,drrichswier.com,
246,drudgereport.com,
247,drudgereport.com.co,
248,duffleblog.com,
249,duhprogressive.com,
250,Dutchsinse.com,
251,EagleRising.com,
252,EbolaHoax.com,
253,economicnoise.com,
254,ecowatch.com,
255,educate-yourself.org,
256,educateinspirechange.org/health,
257,electionnightgatekeepers.com,
258,elelephantintheroom.blogspot.com,
259,elitereaders.com,
260,elkoshary.com,
261,elmundotoday.com,
262,embols.com,
263,Empirehearland.com,
264,empireherald.com,
265,empirenews.net,
266,empirenews.net,
267,empiresports.co,
268,empiresports.co,
269,Emptywheel.net,
270,en-vovle.com,
271,enabon.com,
272,endingthefed.com,
273,endoftheamericandream.com,political
274,endtime.com,political
275,enduringvision.com,
276,english.ruvr.ru,
277,enhlive.com,
278,EUTimes.net,
279,eutopia.buzz,conspiracy
280,everydayworldnews.com,
281,everythingnewdaily.com,
282,ewao.com,
283,ExperimentalVaccines.org,
284,Expose1933.com,
285,express.co.uk,
287,eyeopening.info,
288,fakingnews.com,
289,familysecuritymatters.org,
290,fantasticword.com,
291,FarmWars.info,
292,federalistpress.com,
293,fedsalert.com,
294,fellowshipoftheminds.com,
295,filmsforaction.org,
296,FinancialSurvivalNetwork.com,
297,firearmscoalition.org,
298,flashnewscorner.com,
299,floridasunpost.com,
300,flyheight.com,
301,fmobserver.com,
302,fognews.ru,
303,foodbabe.com,
304,foreignpolicyjournal.com,
305,fort-russ.com,
306,fourwinds10.net,
307,fprnradio.com,
308,freakoutnation.com,
309,FreeBeacon.com,
310,freedomdaily.com,
311,FreedomForceInternational.com,
312,freedomoutpost.com, 
313,FreedomsPhoenix.com,
314,freedomworks.org,
315,freedomworldnews.com,
316,freepatriot.org,
317,freewoodpost.com,
318,freshdailyreport.com,
319,fridaymash.com,
320,fromthetrenchesworldreport.com,bias
321,frontpagemag.com,
322,fusion.net,
323,gaia.com,
324,galacticconnection.com,
325,gangstergovernment.com,
326,gatesofvienna.net,
327,geoengineeringwatch.org,
328,geopolmonitor.com,
329,givemeliberity01.com,
330,glaringhypocrisy.com,
331,GlobalEconomicAnalysis.com,
332,globalpoliticsnow.com,
333,globalresearch.ca,
334,glossynews.com,
335,godlikeproductions.com,
336,gomerblog.com,
337,goneleft.com,
338,GonzaloLira.Blogspot.com,
339,gopthedailydose.com,bias
340,govtslaves.info,
341,greanvillepost.com,
342,GreenMedInfo.com,
343,guardianlv.com,
344,guccifer2.wordpress.com,
345,gulagbound.com,
346,gummypost.com,
347,hangthebankers.com,
348,healthimpactnews.com,
349,healthnutnews.com,
350,healthy-holistic-living.com,
351,healthycareandbeauty.com,
352,healthyworldhouse.com,
353,heartland.org,
354,heatst.com,
355,henrymakow.com,
356,heresyblog.net,rumor
357,heritage.org,
358,holyobserver.com,
359,horowitzfreedomcenter.org,
360,humansarefree.com,
361,humortimes.com,
362,huzlers.com,
363,icr.org,
364,ifyouonlynews.com,
365,igrewupinusa.info,
367,ihr.org,
368,ijr.com,unreliable
369,illuminati-news.com,
370,ilovemyfreedom.org,
371,immediatesafety.org,
372,in5d.com,
373,indiaarising.com,
374,infiniteunknown.net,
375,informationclearinghouse.info,
376,informetoday.com,
377,infostormer.com,conspiracy
378,infowars.com,
379,instaworldnews.com,
380,intellihub.com,
381,interestingdailynews.com,
382,intrendtoday.com,
383,intrepidreport.com,
384,investmentresearchdynamics.com,
385,investmentwatchblog.com,
386,ironictimes.com,
387,islamicanews.com,
388,itaglive.com,
389,ITCCS.org,
390,ItMakesSenseBlog.com,
391,iwanttoexplore.com,
392,jackpineradicals.com,
393,jacobinmag.com,
394,jamesrgrangerjr.com,
395,jesus-is-savior.com,
397,jihadwatch.org,
398,johnnyrobish.com,
399,jonesreport.com,
400,journal-neo.org,
401,judicialwatch.org,
402,katehon.com,
403,katehon.org,
404,kauilapele.wordpress.com,
405,kingworldnews.com,
406,KMT11.com,
407,knowledgeoftoday.org,
408,konkonsagh.biz,
409,krbcnews.com,
410,ky12news.com,
411,ladylibertynews.com,
412,landoverbaptist.org,
413,lastdeplorables.com,
414,learnprogress.org,
415,legorafi.fr,
416,lewrockwell.com,political
417,liberalamerica.org,
418,liberalbias.com,
419,liberaldarkness.com,
420,liberalplug.com,
421,libertyalliance.com,
422,libertyblitzkrieg.com,
423,libertyfederation.com,
424,libertymovementradio.com,
425,libertynews.com,
426,libertytalk.fm,
427,libertyunyielding.com,
428,libertyvideos.org,
429,libertywritersnews.com,unreliable
430,lifeandabout.com,
431,lifenews.com,
432,lifeprevention.com,
433,lifesitenews.com,
434,lifezette.com,
435,lightlybraisedturnip.com,
436,liveactionnews.org,
437,livefreelivenatural.com,
438,livevote.com,
439,loanpride.com,
440,local31news.com,
441,lovethispic.com,
442,lushforlife.com,
443,Mad-Yet.blogspot.com,
444,madpatriots.com,
445,madworldnews.com,
446,madworldnews.com,
447,madworldnews.com,
449,maganews.co,
450,majorthoughts.com,
451,makeamericagreattoday.com,
452,meanlefthook.com,
453,mediamass.net,
454,mediazone.news,
455,megafreshnews.com,
456,megynkelly.us,
457,mentor2day.com,
458,metropolitanworlds.com,
459,militianews.com,hate
460,mintpressnews.com,
461,molonlabemedia.com,
462,moonofalabama.org,
463,morningledger.com,
464,morningnewsusa.com,
465,mpidailymagazine.com,
466,mrc.org,
467,mrconservative.com,
468,msnbc.website,
469,mydailyrelaxation.com,
470,myfreshnews.com,
471,myzonetoday.com,
472,nahadaily.com,
473,nakedcapitalism.com,
474,nasamoonhoax.com,
475,nationalreport.net,
476,nationalreview.com,
477,NationalUFOCenter.com,
478,nationalvanguard.org,
479,nationindistress.weebly.com,
480,nationonenews.com,
481,naturalblaze.com,
482,naturalnews.com,
483,naturalnewsblogs.com,
484,nbc.com.co,
485,nbcpolitics.org,
486,nbcpoll.com,
487,ncscooper.com,
488,neonnettle.com,bias
489,nephef.com,
490,nevo.news,
491,newcenturytimes.com,
492,newcoldwar.org,
493,newpoliticstoday.com,
494,news-hound.com,
495,news-hound.org,
496,news4ktla.com,
497,newsbbc.net,
498,newsbiscuit.com,
499,newsbreakers.org,
500,newsbreakshere.com,
501,NewsBuster.com,
502,newsbysquad.com,
503,newscenterusa.com,
504,newscorpse.com, 
505,newsdaily12.com,
506,newsexaminer.net, 
507,newsfrompolitics.com,
508,newsleak.co,
509,newslo.com,
510,newslogue.com,
511,newsmagazine.com,
512,Newsmax.com,
513,newsmutiny.com,
514,newsninja2012.com,
515,newsopening.com,
516,newstarget.com,
517,newsthump.com,
518,newstoad.net,
519,newswatch28.com,
520,newswatch33.com,
521,newswire-24.com,
522,newswithviews.com,
523,newyorker.com/humor,
524,nodisinfo.com,
525,NoMoreFakeNews.com,
526,nonaiswa.org/wordpress,
527,northcrane.com,
528,notallowedto.com,
529,NoTime4Bull.com,
530,now8news.com,
531,nowtheendbegins.com,
532,npiamerica.org,
533,NutritionalAnarchy.com,
534,nutritionfacts.org,
535,nymeta.co,
536,nyuzer.com,
537,oann.com,
538,oathkeepers.org,
539,objectiveministries.org,
540,observatorial.com,
541,observer.com,
542,OCCUPY.com,
543,occupydemocrats.com,unreliable
544,occupyliberals.com,
545,odgossip.com,
546,off-guardian.org,
547,OffGridSurvival.com,
548,oftwominds.com,
549,oilgeopolitics.net,
550,onepoliticalplaza.com,
551,onlineconservativepress.com,bias
552,opednews.com,
553,openmagazines.com,
554,openmindmagazine.com,
555,orientalreview.org,
556,other98.com,unreliable
557,pakalertpress.com,
558,palmerreport.com,
559,pamelageller.com,bias
560,patdollar.com,
561,patriotarchives.blogspot.com,
562,patriotchronicle.com,
563,patriotnewsdaily.com,
564,patriotnewsdaily.com,
565,patriotpost.us,
566,patriotrising.com,
567,patriotupdate.com,
568,paulcraigroberts.org,
569,pjmedia.com,
570,platosguns.com,bias
571,policestateusa.com,
572,policyreview.info,
573,Politcalpiehole.com,
574,politicalblindspot.com,
575,politicalcult.com,conspiracy
576,politicalears.com,
577,politicalo.com,
578,PoliticalPieHole.com,
579,politicalsitenews.com,
580,politicaltimes.org,
581,PoliticalTracker.com,
582,politicalupdator.com,bias
583,politicono.com,
584,politicops.com,
585,politicot.com,
586,politicsbreaking.com,
587,politicsinformation.com,
588,politicsinfotoday.com,
589,politicsintheusa.com,
590,politicsinusa.com,
591,politicsusanews.com,
592,politicususa.com,
593,pollhype.com,bias
594,powerlineblog.com,
595,powerpoliticians.com,
596,pravda.ru,conspiracy
597,pravdareport.com,conspiracy
598,prepperwebsite.com,
599,president45donaldtrump.com,
600,presidentialvoting2016.com,unreliable
601,press24.us,
602,presstv.com,
603,presstv.ir,
604,prisonplanet.com,
605,prisonplanet.com,
606,prisonplanet.tv,
607,prntly.com,
608,proamericanews.com,
609,progressivestoday.com,
610,projectveritas.com,political
611,proudcons.com,
612,proudemocrat.com,
613,PublicIntelligence.net,
