,url,type
0,100percentfedup.com,bias
2,21stcenturywire.com,conspiracy
5,365usanews.com,bias
6,4threvolutionarywar.wordpress.com,bias
8,82.221.129.208,conspiracy
9,aanirfan.blogspot.co.uk,unreliable
12,abeldanger.net,conspiracy
13,abovetopsecret.com,conspiracy
14,abriluno.com,satire
15,aceflashman.wordpress.com,satire
16,actforamerica.org/news,hate
17,Acting-Man.com,unreliable
18,activistpost.com,conspiracy
19,actualidadpanamericana.com,satire
20,addictinginfo.org,clickbait
21,adflegal.org/media,hate
22,adobochronicles.com,satire
23,advocate.com,political
24,aheadoftheherd.com,bias
25,ahtribune.com,unreliable
26,allnewspipeline.com,unreliable
27,Alt-Market.com,conspiracy
29,alternet.org,political
30,americablog.com,bias
31,americanborderpatrol.com,hate
32,americanfreepress.net,conspiracy
33,AmericanKabuki.blogspot.com,junksci
34,americanlookout.com,bias
36,americannewsx.com,political
38,americanpatriotdaily.com,bias
41,americanprogress.org,political
42,americanreviewer.com,conspiracy
43,americanthinker.com,bias
44,americantoday.news,rumor
45,americasfreedomfighters.com,bias
46,AmmoLand.com,bias
47,amplifyingglass.com,clickbait
49,amren.com,hate
50,amren.com,hate
51,amtvmedia.com,rumor
52,amusmentic.com,clickbait
53,ancient-code.com,junksci
55,angrypatriotmovement.com,conspiracy
56,anonews.co,unreliable
57,anonhq.com,unreliable
59,anonnews.co,unreliable
60,anotherdayintheempire.com,bias
61,antiwar.com,bias
62,antoniusaquinas.wp.com,bias
63,aryannationswordwide1488.org,hate
64,asia-pacificresearch.com,unreliable
65,assassinationscience.com,conspiracy
66,associatedmediacoverage.com,satire
67,attn.com,political
69,AutomaticEarth.com,unreliable
70,automotostar.com,clickbait
71,awarenessact.com,conspiracy
72,awazetribune.com,satire
73,awdnews.com,conspiracy
74,awm.com,unreliable
75,BadSquad.com,unknown
76,baptistnews.com,political
77,barenakedislam.com,hate
78,barnesreview.org,hate
79,BB4SP.com,conspiracy
80,beehivebugle.com,satire
82,betootaadvocate.com,satire
83,bients.com,clickbait
84,bigamericannews.com,satire
85,bigbluedimension.com,rumor
86,bigbluevision.com,hate
87,bigbluevision.org,clickbait
89,bignuggetnews.com,bias
90,bigpzone.com,unknown
91,bipartisanreport.com,clickbait
92,blackagendareport.com,unreliable
93,blackgenocide.org,conspiracy
95,blacklistednews.com,clickbait
96,bluenationreview.com,clickbait
97,Boilingfrogspost.com,unreliable
98,borowitzreport.com,satire
100,bostontribune.com,satire
101,breaking911.com,clickbait
102,breakpoint.org,unreliable
103,breitbart.com,political
104,BrotherJohnF.com,bias
105,BullionBullsCanada.com,conspiracy
106,burrardstreetjournal.com,satire
108,bvanews.com,unreliable
109,callthecops.net,satire
110,canadafreepress.com,conspiracy
113,cato.org/blog,political
115,celebtricity.com,satire
116,centerforsecuritypolicy.org,bias
117,centerforsecuritypolicy.org/#articles,hate
120,charismanews.com,bias
121,chaser.com.au,satire
122,checkoutthehealthyworld.com,junksci
123,chicksontheright.com,clickbait
124,christianfightback.com,hate
125,christianpost.com,reliable
126,christiantimesnewspaper.com,rumor
127,christwire.org,satire
128,chronicle.su,satire
129,chroniclesmagazine.org,political
130,citizensunited.org,bias
131,city-journal.org,political
135,clickhole.com,satire
137,cnnnext.com,unreliable
138,CNSNews.com,unreliable
139,coasttocoastam.com,unreliable
141,collective-evolution.com,junksci
142,collectivelyconscious.net,junksci
143,ComingDepression.com,unknown
144,commentarymagazine.com,political
145,commondreams.org,political
146,concisepolitics.com,conspiracy
147,consciouslifenews.com,junksci
148,conservapedia.com,bias
152,conservativefiringline.com,bias
154,conservativefrontline.com,unknown
155,conservativeheadlines.com,unknown
156,conservativehq.com,bias
158,conservativeoutfitters.com,unreliable
159,conservativepapers.com,bias
160,conservativerefocus.com,conspiracy
161,conservativereview.com,political
162,conservativespirit.com,bias
163,conservativestate.com,bias
164,conservativetribune.com,bias
165,consortiumnews.com,reliable
166,conspiracyplanet.com,conspiracy
167,conspiracywire.com,conspiracy
168,corbettreport.com,conspiracy
169,corbettreport.com,conspiracy
