,url,type
1,16wmpo.com,fake
3,24newsflash.com,fake
4,24wpn.com,fake
7,70news.wordpress.com,fake
10,abcnews.com.co,fake
11,abcnewsgo.co,fake
28,alternativemediasyndicate.com,fake
35,americannews.com,fake
37,americanoverlook.com,fake
39,americanpoliticnews.co,fake
40,americanpresident.co,fake
48,Amposts.com,fake
54,anews24.org/,fake
58,anonjekloy.tk,fake
68,aurora-news.us,fake
81,beforeitsnews.com,fake
88,bighairynews.com,fake
94,blackinusrancenews.com,fake
99,bostonleader.com,fake
107,buzzfeedusa.com,fake
111,cannasos.com,fake
112,cap-news.com,fake
114,cbsnews.com.co,fake
118,channel-7-news.com,fake
119,channel18news.com,fake
132,cityworldnews.com,fake
133,civictribune.com,fake
134,clashdaily.com,fake
136,cnnews3.com,fake
140,coed.com,fake
149,conservativebyte.com,fake
150,conservativedailypost.com,fake
151,conservativefighters.com,fake
153,conservativeflashnews.com,fake
157,conservativeinfidel.com,fake
183,dailybuzzlive.com,fake
187,dailyheadlines.com,fake
188,dailyheadlines.net,fake
189,dailyinfobox.com,fake
193,dailynews10.com,fake
194,dailynews5.com,fake
197,dailynewsposts.info,fake
205,dailysurge.com,fake
207,dailyusaupdate.com,fake
209,damnleaks.com,fake
219,dcgazette.com,fake
221,ddemocraticunderground.com,fake
228,denverguardian.com,fake
229,departed.co,fake
230,departedmedia.com,fake
238,DIYhours.net,fake
240,donaldtrumpnews.co,fake
241,DonaldTrumpPotus45.com,fake
243,downtrend.com,fake
247,drudgereport.com.co,fake
262,embols.com,fake
263,Empirehearland.com,fake
264,empireherald.com,fake
265,empirenews.net,fake
266,empirenews.net,fake
270,en-vovle.com,fake
271,enabon.com,fake
275,enduringvision.com,fake
277,enhlive.com,fake
279,eutopia.buzz,fake
288,fakingnews.com,fake
291,FarmWars.info,fake
293,fedsalert.com,fake
298,flashnewscorner.com,fake
299,floridasunpost.com,fake
310,freedomdaily.com,fake
318,freshdailyreport.com,fake
329,givemeliberity01.com,fake
332,globalpoliticsnow.com,fake
337,goneleft.com,fake
339,gopthedailydose.com,fake
346,gummypost.com,fake
351,healthycareandbeauty.com,fake
352,healthyworldhouse.com,fake
371,immediatesafety.org,fake
377,infostormer.com,fake
381,interestingdailynews.com,fake
382,intrendtoday.com,fake
388,itaglive.com,fake
390,ItMakesSenseBlog.com,fake
391,iwanttoexplore.com,fake
406,KMT11.com,fake
408,konkonsagh.biz,fake
409,krbcnews.com,fake
410,ky12news.com,fake
411,ladylibertynews.com,fake
413,lastdeplorables.com,fake
414,learnprogress.org,fake
420,liberalplug.com,fake
421,libertyalliance.com,fake
440,local31news.com,fake
445,madworldnews.com,fake
449,maganews.co,fake
450,majorthoughts.com,fake
453,mediamass.net,fake
456,megynkelly.us,fake
457,mentor2day.com,fake
458,metropolitanworlds.com,fake
465,mpidailymagazine.com,fake
467,mrconservative.com,fake
468,msnbc.website,fake
470,myfreshnews.com,fake
471,myzonetoday.com,fake
480,nationonenews.com,fake
484,nbc.com.co,fake
489,nephef.com,fake
493,newpoliticstoday.com,fake
496,news4ktla.com,fake
497,newsbbc.net,fake
500,newsbreakshere.com,fake
502,newsbysquad.com,fake
